"d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "identif" "lsize" "razd" "raz92d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm"
0 0 0 0 0 107 118 135 16 0 1990-01-01 10425 10238 12174 833 26 807 65 10173 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "63" 9.40705780905387 "0" "0" 0 0 0 1 0 0 0.0403136040265208 0.968787515006002 0.492329284227847 9.40705780905387 0.886655074983699 "1" 0.116473494204826 "0"
0 0 0 0 0 107 118 135 16 0 1991-01-01 9944 11349 15248 3525 2532 993 78 11271 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "63" 9.63220362589398 "0" "0" 0 0 0 1 0 0 0.16554736298314 0.281702127659574 0.529328887427793 9.63220362589398 0.958094098883573 "0" 0.129344816950258 "0"
0 0 0 0 0 139 138 140 31 1 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "64" NA "0" "0" 1 0 0 1 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 126 132 125 5 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "67" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 1 105 108 114 17 0 1989-01-01 4036 1946 6102 425 226 199 0.35 3296 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "69" 8.71637186527662 "0" "0" 0 0 1 0 0 0 0.0710464727515881 0.468235294117647 0.550986292209963 8.71637186527662 0.808654235860552 "0" 0.11015317264026 "0"
0 0 0 0 1 105 108 114 17 0 1990-01-01 4232 2214 6898 489 248 241 49 2133 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "69" 8.83898679349679 "0" "0" 0 0 1 0 0 0 0.0758609990691902 0.492842535787321 0.330902885510394 8.83898679349679 0.886655074983699 "0" 0.116473494204826 "0"
0 0 0 0 1 105 108 114 17 0 1991-01-01 4305 2974 8148 564 254 310 35 2868 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "69" 9.0055277773467 "0" "0" 0 0 1 0 0 0 0.077483170765215 0.549645390070922 0.394010166231625 9.0055277773467 0.958094098883573 "0" 0.129344816950258 "0"
0 0 9 0 0 150 147 146 17 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "70" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 68 75 72 9 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "71" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 103 103 103 18 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "75" NA "0" "0" 1 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 120 120 120 20 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "76" NA "0" "0" 1 0 0 1 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 0 101 101 161 7 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "80" NA "0" "0" 1 0 1 0 0 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 0 0 3 0 15 120 2 0 1991-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "83" NA "0" "0" 0 0 0 0 1 0 NA NA NA NA 0.958094098883573 NA 0.129344816950258 NA
0 0 3 0 0 473 454 286 20 0 1989-01-01 28378 17877 21237 -377 -826 449 6 15153 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "86" 9.9635002224423 "1" "1" 1 0 1 0 0 0 -0.00815047021943574 -1.19098143236074 0.327597016538753 9.9635002224423 0.808654235860552 "0" 0.11015317264026 "0"
0 0 3 0 0 473 454 286 20 0 1990-01-01 31170 18062 24698 250 -817 1067 22 14247 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "86" 10.1144775476778 "1" "1" 1 0 1 0 0 0 0.00507799805004875 4.268 0.289384952876178 10.1144775476778 0.886655074983699 "1" 0.116473494204826 "0"
0 0 3 0 0 473 454 286 20 0 1991-01-01 30524 16413 25656 641 -435 1076 22 14948 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "86" 10.152532741373 "1" "1" 1 0 1 0 0 0 0.0136566035323945 1.6786271450858 0.318469437756993 10.152532741373 0.958094098883573 "1" 0.129344816950258 "0"
0 0 0 0 0 0 0 134 2 0 1989-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "89" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.808654235860552 NA 0.11015317264026 NA
0 0 0 0 0 0 0 134 2 0 1990-01-01 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "89" NA "0" "0" 0 0 1 0 0 0 NA NA NA NA 0.886655074983699 NA 0.116473494204826 NA
0 0 0 0 0 0 0 134 2 0 1991-01-01 2435 127 1038 -636 -653 17 67 58 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "89" 6.94505106372583 "0" "0" 0 0 1 0 0 0 -0.24824355971897 -0.0267295597484277 0.0226385636221702 6.94505106372583 0.958094098883573 "0" 0.129344816950258 "1"
