"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "lsize" "razd" "raz95d" "duacq" "dusco" "durg" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "persist" "eta"
53 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA NA NA 27 25 23 21 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 21
54 NA NA NA NA NA NA NA NA NA "1992-01-01" 5119 1122 9959 416 165 251 372 530 NA 0 0 130 130 140 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.20623194393164 0 0 0 0 0 1 0 0 0 0.0666559846178497 0.603365384615385 0.0849222880948566 9.20623194393164 0.998156685158956 0 0.123483853912901 1 0 6
54 NA NA NA NA NA NA NA NA NA "1993-01-01" 5983 1176 11396 295 159 136 297 654 NA 0 0 130 130 140 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.3410176956178 0 0 0 0 0 1 0 0 0 0.0412068724682218 0.461016949152542 0.091353540997346 9.3410176956178 0.994739892944572 0 0.118665919194348 1 0 7
54 NA NA NA NA NA NA NA NA NA "1994-01-01" 6222 1151 12235 32 -81 113 223 689 NA 0 0 130 130 140 8 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.41205597587677 0 0 0 0 0 1 0 0 0 0.0043401600434016 3.53125 0.0934490709344907 9.41205597587677 0.894230769230769 1 0.111177201406444 1 0 8
58 NA NA NA NA NA NA NA NA NA "1992-01-01" 5538 5241 7775 679 113 566 42 4638 NA 0 0 76 80 78 34 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.95866873704743 0 0 0 0 0 0 0 1 0 0.062992856480193 0.833578792341679 0.430281102143056 8.95866873704743 0.998156685158956 0 0.123483853912901 0 0 32
58 NA NA NA NA NA NA NA NA NA "1993-01-01" 11455 6821 9198 801 64 737 115 6083 NA 0 0 76 80 78 34 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.12674134809987 0 0 0 0 0 0 0 1 0 0.043827971109652 0.920099875156055 0.332840884219742 9.12674134809987 0.994739892944572 0 0.118665919194348 0 0 33
58 NA NA NA NA NA NA NA NA NA "1994-01-01" 8411 9714 7025 532 -382 914 86 9015 NA 0 0 76 80 78 34 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.85723049420195 0 0 0 0 0 0 0 1 0 0.029351724137931 1.71804511278195 0.497379310344828 8.85723049420195 0.894230769230769 1 0.111177201406444 0 0 34
59 NA NA NA NA NA NA NA NA NA "1992-01-01" 5139 2149 9148 426 207 219 0 854 NA 0 0 65 65 65 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.12129055514267 0 0 1 0 0 0 0 0 1 0.0584522502744237 0.514084507042254 0.117178924259056 9.12129055514267 0.998156685158956 0 0.123483853912901 1 0 11
59 NA NA NA NA NA NA NA NA NA "1993-01-01" 5890 2127 9904 1212 1000 212 0 924 NA 0 0 65 65 65 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.20069399492438 0 0 1 0 0 0 0 0 1 0.151178745166521 0.174917491749175 0.115255082948734 9.20069399492438 0.994739892944572 0 0.118665919194348 1 0 12
59 NA NA NA NA NA NA NA NA NA "1994-01-01" 6662 2688 11542 1727 1594 133 73 2524 NA 0 0 65 65 65 13 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.35374783527091 0 0 1 0 0 0 0 0 1 0.184705882352941 0.0770121598147076 0.269946524064171 9.35374783527091 0.894230769230769 0 0.111177201406444 0 0 13
63 NA NA NA NA NA NA NA NA NA "1992-01-01" 12834 10206 17210 260 -569 829 71 10135 NA 0 0 136 131 99 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.75324588920559 0 0 0 0 1 0 1 0 0 0.0112847222222222 3.18846153846154 0.439887152777778 9.75324588920559 0.998156685158956 1 0.123483853912901 0 0 17
63 NA NA NA NA NA NA NA NA NA "1993-01-01" 11216 10710 10306 0.26 -878 752 51 10659 NA 0 0 136 131 99 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.24048152888817 0 0 0 0 1 0 1 0 0 1.18580680470674e-05 -5.96825396825397 0.486135181975737 9.24048152888817 0.994739892944572 0 0.118665919194348 0 0 18
63 NA NA NA NA NA NA NA NA NA "1994-01-01" 13030 10199 8907 0.107 0.793 686 154 10045 NA 0 0 136 131 99 19 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.09459276343187 0 0 0 0 1 0 1 0 0 4.6063110766714e-06 0.998845358062764 0.432433595936114 9.09459276343187 0.894230769230769 1 0.111177201406444 0 0 19
69 NA NA NA NA NA NA NA NA NA "1992-01-01" 5210 3160 8467 659 259 400 20 3090 NA 0 0 113 111 111 20 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.04393153364228 0 0 0 0 0 0 0 1 0 0.0787335722819594 0.606980273141123 0.369175627240143 9.04393153364228 0.998156685158956 0 0.123483853912901 0 0 18
69 NA NA NA NA NA NA NA NA NA "1993-01-01" 4862 3764 8173 550 223 327 3 3268 NA 0 0 113 111 111 20 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.00859131751613 0 0 0 0 0 0 0 1 0 0.0637607233943891 0.594545454545455 0.378854625550661 9.00859131751613 0.994739892944572 0 0.118665919194348 0 0 19
69 NA NA NA NA NA NA NA NA NA "1994-01-01" 5859 3471 9229 426 222 204 2 2974 NA 0 0 113 111 111 20 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.13010597926558 0 0 0 0 0 0 0 1 0 0.0456591639871383 0.47887323943662 0.318756698821007 9.13010597926558 0.894230769230769 0 0.111177201406444 0 0 20
74 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA 0 0 24 26 31 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 4
74 NA NA NA NA NA NA NA NA NA "1993-01-01" 4999 1342 15999 552 258 294 361 639 NA 0 0 24 26 31 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.68028149926871 0 0 0 0 0 1 0 0 0 0.0870525153761236 0.532608695652174 0.100772748777795 9.68028149926871 0.994739892944572 0 0.118665919194348 1 0 5
74 NA NA NA NA NA NA NA NA NA "1994-01-01" 8157 1447 19017 409 77 332 282 844 NA 0 0 24 26 31 6 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.85308859495228 0 0 0 0 0 1 0 0 0 0.0425864223240317 0.811735941320293 0.0878800499791753 9.85308859495228 0.894230769230769 0 0.111177201406444 1 0 6
77 NA NA NA NA NA NA NA NA NA "1992-01-01" 30232 17089 43761 1784 72 1712 215 16783 NA 0 1 153 156 141 33 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.6864982887543 0 0 0 0 0 1 0 0 0 0.0376999640751463 0.959641255605381 0.354662834682276 10.6864982887543 0.998156685158956 0 0.123483853912901 0 0 31
77 NA NA NA NA NA NA NA NA NA "1993-01-01" 31482 18053 36042 752 0.392 2144 604 15436 NA 0 1 153 156 141 33 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.4924402040782 0 0 0 0 0 1 0 0 0 0.0151811850206924 0.999817197601931 0.311618047844958 10.4924402040782 0.994739892944572 1 0.118665919194348 0 0 32
77 NA NA NA NA NA NA NA NA NA "1994-01-01" 37629 17044 46609 265 0.336 1601 439 14620 NA 0 1 153 156 141 33 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.7495489345132 0 0 0 0 0 1 0 0 0 0.00484699943299252 0.999790175203705 0.267408044190002 10.7495489345132 0.894230769230769 1 0.111177201406444 0 0 33
84 NA NA NA NA NA NA NA NA NA "1992-01-01" 33239 14480 41367 5572 3270 2302 1076 12056 NA 0 0 265 217 197 29 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.6302387405099 0 0 0 0 1 0 1 0 0 0.116766906263752 0.413137114142139 0.252645696682663 10.6302387405099 0.998156685158956 0 0.123483853912901 0 0 27
84 NA NA NA NA NA NA NA NA NA "1993-01-01" 20875 17346 23143 2584 785 1799 1102 13652 NA 0 0 265 217 197 29 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.0494476379797 0 0 0 0 1 0 1 0 0 0.0676068130085555 0.696207430340557 0.357185840244892 10.0494476379797 0.994739892944572 0 0.118665919194348 0 0 28
84 NA NA NA NA NA NA NA NA NA "1994-01-01" 23404 17543 24102 2281 639 1642 1575 13708 NA 0 0 265 217 197 29 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.0900501035873 0 0 0 0 1 0 1 0 0 0.0557061567391995 0.719859710653222 0.334774220333602 10.0900501035873 0.894230769230769 0 0.111177201406444 0 0 29
87 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA 0 0 331 360 375 18 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 1 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 16
87 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA 0 0 331 360 375 18 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 1 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 17
87 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA 0 0 331 360 375 18 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 1 0 1 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 18
89 NA NA NA NA NA NA NA NA NA "1992-01-01" 2591 445 4293 -865 0.099 234 246 188 NA 0 0 150 270 284 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.36474106822456 0 0 0 0 0 1 0 0 0 -0.284914361001318 0.99957710199531 0.0619235836627141 8.36474106822456 0.998156685158956 1 0.123483853912901 1 0 3
89 NA NA NA NA NA NA NA NA NA "1993-01-01" 5181 499 5527 329 -427 756 243 247 NA 0 0 150 270 284 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.61740045183326 0 0 0 0 0 1 0 0 0 0.0579225352112676 2.29787234042553 0.0434859154929577 8.61740045183326 0.994739892944572 1 0.118665919194348 1 0 4
89 NA NA NA NA NA NA NA NA NA "1994-01-01" 5717 1917 9310 850 93 757 466 863 NA 0 0 150 270 284 5 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.13884437027111 0 0 0 0 0 1 0 0 0 0.111343987424679 0.890588235294118 0.113046895467645 9.13884437027111 0.894230769230769 0 0.111177201406444 0 0 5
91 NA NA NA NA NA NA NA NA NA "1992-01-01" 18430 7236 16193 1453 -904 2357 0 6763 NA NA NA 180 180 180 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.69233432907347 NA 0 0 0 0 0 1 0 0 0.0566118600483129 1.62216104611149 0.263500350658459 9.69233432907347 0.998156685158956 1 0.123483853912901 0 0 12
91 NA NA NA NA NA NA NA NA NA "1993-01-01" 20562 6786 7873 0.18 -2598 2480 0 6313 NA NA NA 180 180 180 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.97119446318447 NA 0 0 0 0 0 1 0 0 6.58183413777973e-06 -21.0169491525424 0.230839549510019 8.97119446318447 0.994739892944572 0 0.118665919194348 0 0 13
91 NA NA NA NA NA NA NA NA NA "1994-01-01" 18186 6434 4805 -27 0.815 1788 0 5961 NA NA NA 180 180 180 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.47741232140439 NA 0 0 0 0 0 1 0 0 -0.00109666937449228 0.999544391119261 0.242120227457352 8.47741232140439 0.894230769230769 1 0.111177201406444 0 0 14
104 NA NA NA NA NA NA NA NA NA "1992-01-01" NA NA NA NA NA NA NA NA NA 0 0 37 38 38 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.998156685158956 NA 0.123483853912901 NA 0 8
104 NA NA NA NA NA NA NA NA NA "1993-01-01" NA NA NA NA NA NA NA NA NA 0 0 37 38 38 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.994739892944572 NA 0.118665919194348 NA 0 9
104 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA 0 0 37 38 38 10 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 10
106 NA NA NA NA NA NA NA NA NA "1992-01-01" 6607 6051 11562 983 0.62 1145 70 5091 NA 0 0 60 65 64 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.35547913764242 0 0 1 0 0 1 0 0 0 0.0776583978511613 0.99945880833086 0.402196239532312 9.35547913764242 0.998156685158956 1 0.123483853912901 0 0 12
106 NA NA NA NA NA NA NA NA NA "1993-01-01" 8246 5602 12216 1433 -269 1702 41 5055 NA 0 0 60 65 64 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.41050184689847 0 0 1 0 0 1 0 0 0 0.103480647024841 1.18771807397069 0.365034662045061 9.41050184689847 0.994739892944572 1 0.118665919194348 0 0 13
106 NA NA NA NA NA NA NA NA NA "1994-01-01" NA NA NA NA NA NA NA NA NA 0 0 60 65 64 14 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 1 0 0 1 0 0 0 NA NA NA NA 0.894230769230769 NA 0.111177201406444 NA 0 14
109 NA NA NA NA NA NA NA NA NA "1992-01-01" 29716 10021 42347 4522 4168 354 8 10013 NA 0 0 115 115 131 24 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.6536528593184 0 0 1 0 1 0 0 0 1 0.113798223318318 0.0782839451570102 0.251981780204847 10.6536528593184 0.998156685158956 0 0.123483853912901 0 0 22
109 NA NA NA NA NA NA NA NA NA "1993-01-01" 37841 27925 89780 15678 13834 1844 170 27683 NA 0 0 115 115 131 24 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 11.4051175123359 0 0 1 0 1 0 0 0 1 0.238390657786698 0.117617042990177 0.420931788462123 11.4051175123359 0.994739892944572 0 0.118665919194348 0 0 23
109 NA NA NA NA NA NA NA NA NA "1994-01-01" 40973 29423 82905 12549 9260 3289 286 29049 NA 0 0 115 115 131 24 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 11.3254506529355 0 0 1 0 1 0 0 0 1 0.178262969486903 0.262092597019683 0.412651287004943 11.3254506529355 0.894230769230769 0 0.111177201406444 0 0 24
113 NA NA NA NA NA NA NA NA NA "1992-01-01" 5528 844 6939 534 48 486 114 681 NA 0 0 13 13 13 34 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 8.84491295089955 0 0 0 0 0 1 0 0 0 0.083804143126177 0.910112359550562 0.106873822975518 8.84491295089955 0.998156685158956 0 0.123483853912901 1 0 32
113 NA NA NA NA NA NA NA NA NA "1993-01-01" 5325 752 8319 455 71 384 83 605 NA 0 0 13 13 13 34 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 9.02629733428389 0 0 0 0 0 1 0 0 0 0.0748724699687346 0.843956043956044 0.0995557018265592 9.02629733428389 0.994739892944572 0 0.118665919194348 1 0 33
