"identif" "eta92c" "eta95c" "persist"
1857 NA 41 "0"
1858 11 14 "0"
1859 4 7 "0"
1863 87 NA "0"
1866 41 44 "0"
1867 37 NA "0"
1875 30 NA "0"
1876 61 64 "0"
1878 18 21 "0"
1879 NA NA "0"
1883 7 10 "0"
1887 NA 22 "0"
1888 63 NA "0"
1890 6 NA "0"
1891 14 NA "0"
1892 18 21 "0"
1897 52 55 "0"
1900 80 NA "0"
1905 NA NA "0"
1907 30 NA "0"
1908 NA 8 "0"
1909 50 NA "0"
1910 42 45 "0"
1911 41 44 "0"
1912 NA 16 "0"
1914 29 32 "0"
1915 20 NA "0"
1917 12 NA "0"
1918 10 13 "0"
1920 6 9 "0"
1921 44 47 "0"
1924 79 NA NA
1925 NA NA "0"
1926 NA 10 "0"
1930 11 14 "0"
1932 32 35 "0"
1933 NA 23 "0"
1936 15 NA "0"
1938 45 NA "0"
1939 39 NA "0"
1940 25 28 "0"
1943 16 19 "0"
1944 13 16 "0"
1945 13 16 "0"
1946 11 14 "0"
1947 NA 12 "0"
1949 71 NA "0"
1951 47 NA NA
1952 37 40 "0"
1954 29 32 "0"
1956 NA 24 "0"
1960 NA 40 "0"
1962 NA 45 "0"
1963 29 32 "0"
1965 NA 68 "0"
1966 23 NA "0"
1968 12 NA "0"
1970 NA 39 "0"
1972 NA 48 "0"
1974 NA 5 "0"
1977 67 NA "0"
1978 61 64 "0"
1980 60 63 "0"
1981 NA 61 "0"
1982 64 NA "0"
1986 NA 54 "0"
1987 48 NA "0"
1988 43 NA "0"
1989 38 NA "0"
1990 37 40 "0"
1991 NA 40 "0"
1992 36 39 "0"
1997 NA 33 "0"
1998 26 29 "0"
1999 26 NA "0"
2001 25 NA NA
2003 23 26 "0"
2006 NA 23 "0"
2010 13 NA "0"
2013 12 15 "0"
2015 11 NA "0"
2019 12 NA "0"
2022 4 7 "0"
2024 NA 26 "0"
2025 21 24 "0"
2026 12 15 "0"
2028 17 20 "0"
2030 NA 66 "0"
2031 70 73 "0"
2032 52 55 "0"
2033 45 48 "0"
2035 NA 104 "0"
2037 NA 24 "0"
2038 NA 15 "0"
2041 NA 7 "0"
2042 NA NA "0"
2043 30 33 "0"
2048 NA 37 "0"
2052 20 23 "0"
2063 94 97 "0"
2064 15 NA "0"
2066 22 25 "0"
2069 NA 66 "0"
2070 71 NA "0"
2072 NA 68 "0"
2076 3 NA "0"
2079 13 NA "0"
2082 35 38 "0"
2083 79 NA "0"
2084 49 NA "0"
2085 NA 48 "0"
2086 31 NA "0"
2087 NA 36 "0"
2088 80 NA "0"
2089 NA 21 "0"
2090 36 NA "0"
2093 NA 120 NA
2094 13 NA "0"
2099 12 15 "0"
2100 50 53 "0"
2102 25 NA "0"
2106 57 NA "0"
2110 15 NA "0"
2117 20 NA NA
2118 19 NA "0"
2119 15 18 "0"
2120 29 32 "0"
2121 37 NA NA
2124 11 NA "0"
2125 NA 30 "0"
2128 54 57 "0"
2129 NA 16 "0"
2130 NA 15 "0"
2131 25 NA NA
2132 7 NA "0"
2134 9 NA NA
2135 44 47 "0"
2136 42 45 "0"
2137 28 NA "0"
2139 4 NA "0"
2141 NA 15 "0"
2143 5 8 "0"
2144 45 48 "0"
2146 42 45 "0"
2152 15 18 "0"
2153 53 NA "0"
2154 NA 15 "0"
2155 40 43 "0"
2157 66 69 "0"
2159 38 41 "0"
2161 31 34 "0"
2162 NA 35 "0"
2163 62 65 "0"
2165 27 NA "0"
2166 NA NA "0"
2169 13 NA "0"
2170 12 15 "0"
2171 NA NA "0"
2172 3 6 "0"
2173 42 NA "0"
2174 45 48 "0"
2175 44 47 "0"
2176 NA 2 "0"
2177 NA NA "0"
2179 45 48 "0"
2180 46 NA "0"
2183 NA 18 "0"
2190 NA 8 "0"
2195 NA 11 "0"
2196 -1 2 "0"
2198 NA 22 "0"
2201 NA 26 "0"
2202 7 NA "0"
2204 14 NA "0"
2205 NA 10 "0"
2207 NA 7 "0"
2210 NA 9 "0"
2213 NA 9 "0"
2215 NA 13 "0"
2217 NA 15 "0"
2219 NA 12 "0"
2221 5 8 "0"
2222 4 NA NA
2223 NA 7 "0"
2224 20 NA "0"
2225 NA 17 "0"
2226 NA 25 "0"
2228 12 NA "0"
2230 11 NA "0"
2233 NA 8 "0"
2235 NA 17 "0"
2236 NA 10 "0"
2239 NA 17 "0"
2243 19 22 "0"
2245 NA 18 "0"
2246 19 NA "0"
2251 NA 23 "0"
2254 30 NA "0"
2255 NA 16 "0"
2258 NA 5 "0"
2260 5 NA "0"
2263 2 5 "0"
2265 4 NA "0"
2266 NA 22 "0"
2267 22 25 "0"
2268 NA 16 "0"
2269 4 NA "0"
2270 16 19 "0"
2271 10 13 "0"
2273 NA 15 NA
2275 12 15 "0"
2277 NA 23 "0"
2280 NA 22 "0"
2283 NA 21 "0"
2285 16 NA "0"
2286 NA 31 "0"
2287 NA 15 "0"
2292 31 34 "0"
2295 NA 20 "0"
2299 NA NA "0"
2300 49 NA "0"
2301 3 NA "0"
2303 21 24 "0"
2304 NA 26 "0"
2306 NA 17 "0"
2307 NA 15 "0"
2310 29 32 "0"
2311 22 25 "0"
2313 NA 5 "0"
2314 NA 16 "0"
2315 13 NA "0"
2316 NA 40 "0"
2317 NA 23 "0"
2321 13 16 "0"
2322 10 NA "0"
2323 9 NA "0"
2324 24 27 "0"
2325 27 30 "0"
2327 15 NA "0"
2328 4 7 "0"
2329 17 NA "0"
2331 85 88 "0"
2334 4 7 "0"
2335 NA 19 "0"
2337 19 NA "0"
2338 20 NA "0"
2339 NA 19 "0"
2340 NA 25 "0"
2341 NA 19 "0"
2342 12 15 "0"
2345 NA 21 "0"
2349 NA NA "0"
2355 NA 10 "0"
2356 25 NA "0"
2357 19 22 "0"
2359 NA 37 "0"
