"identif" "d17_1" "d17_2" "d17_3" "d17_4" "d17_5" "dip89" "dip90" "dip91" "eta92" "isgru" "anno" "aco" "aim" "sales" "util" "utiln" "of" "imim" "imte" "ind92" "nonotten" "avrebacc" "dip92" "dip93" "dip94" "eta95" "ind95" "dip95" "dip96" "dip97" "eta98" "desi" "chie" "paga" "eta98n" "ind98" "dip98" "dip99" "dip00" "eta01" "eta01n" "ind01" "razd" "raz01d" "duacq" "dusco" "dupav1" "dupav2" "dupav3" "dupav4" "roa" "ofut" "quoimm" "lsales" "pofut" "duofut" "pquoimm" "dimm" "desi01" "persist" "perdesi"
30220116 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 1158 265 2303 131 71 60 1 92 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 44 36 39 21 22 1 0 0 0 0 0 1 0 0 0.0920590302178496 0.458015267175573 0.0646521433591005 7.74196789982069 0.682926829268293 0 0.0995614662892028 1 1 0 0
30220116 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 774 265 1330 -28 -72 44 2 89 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 44 36 39 21 22 1 0 0 0 0 0 1 0 0 -0.026948989412897 -1.57142857142857 0.0856592877767084 7.1929342212158 0.598704696626315 0 0.100247520197656 1 1 0 0
30220116 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 1059 309 1548 -139 -200 61 2 92 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 44 36 39 21 22 1 0 0 0 0 0 1 0 0 -0.101608187134503 -0.438848920863309 0.0672514619883041 7.34471905414967 0.632456223065049 0 0.100114425048501 1 1 0 0
39690764 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 758.182748273743 405.973684455164 1157.13914381775 -70.9622847020302 -99.7188795984031 28.7565948963729 0 213.772373171097 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 32 31 31 78 42 1 0 0 0 0 1 0 0 0 -0.0609559700973237 -0.405237726168507 0.183628563276494 7.05370598255368 0.682926829268293 0 0.0995614662892028 0 1 0 0
39690764 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 612.493402779571 403.338177526894 1086.68733957558 -10.1987610198991 -39.7981071854648 29.5993461655658 14.926572740372 203.771370211799 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 32 31 31 78 42 1 0 0 0 0 1 0 0 0 -0.0100398148842963 -2.902249215156 0.200595624473816 6.99088920966099 0.598704696626315 0 0.100247520197656 0 1 0 0
39690764 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 614.717447979879 362.520033879573 1115.09310375103 -61.1108967241139 -95.8981077019217 34.7872109778078 11.9175657320518 182.952417276516 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 32 31 31 78 42 1 0 0 0 0 1 0 0 0 -0.0625343356743075 -0.56924726755124 0.18721387653736 7.01669318153019 0.632456223065049 0 0.100114425048501 0 1 0 0
40360902 NA NA NA NA NA NA NA NA NA 0 "1998-01-01" 2973.24236805817 1365.5120411926 8045.88203091511 303.676656664618 212.780242424868 90.8964142397496 23.7570173581164 1200.76229038306 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 21 21 21 46 NA 1 0 0 0 0 1 0 0 0 0.069991667658612 0.299319727891157 0.276752767527675 8.99291569057216 0.682926829268293 0 0.0995614662892028 0 1 0 0
40360902 NA NA NA NA NA NA NA NA NA 0 "1999-01-01" 3375.04583554979 1338.13982554086 7503.08582997206 327.950130921823 279.919639306501 48.0304916153222 18.075991468132 1118.12918652874 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 21 21 21 46 NA 1 0 0 0 0 1 0 0 0 0.0695814157352618 0.146456692913386 0.237234275695814 8.92306965890081 0.598704696626315 0 0.100247520197656 0 1 0 0
40360902 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" 3228 1374 7342 149 115 34 12 1298 NA NA NA NA NA NA NA NA NA NA NA NA 1 2 2 NA NA 21 21 21 46 NA 1 0 0 0 0 1 0 0 0 0.0323772272924815 0.228187919463087 0.282051282051282 8.90136656405678 0.632456223065049 0 0.100114425048501 0 1 0 0
40960321 NA NA NA NA NA NA NA NA NA 0 "2000-01-01" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 2 NA NA NA 16 15 14 49 48 1 0 0 0 0 0 0 1 0 NA NA NA NA 0.632456223065049 NA 0.100114425048501 NA 0 0 0
