"identif" "eta98c" "eta01c" "persist" "perdesi"
"488" 122170047 NA NA 0 0
"489" 122170880 NA NA 0 0
"490" 122240881 NA NA 0 0
"491" 122250047 NA NA 0 0
"492" 122350045 NA NA 0 0
"493" 122430888 NA NA 0 0
"494" 122530703 NA NA 0 0
"495" 122660880 NA NA 0 0
"496" 122720039 NA NA 0 0
"497" 123030513 NA NA 0 0
"499" 123140106 33 36 0 0
"501" 123210230 26 29 0 1
"502" 123280199 NA NA 0 0
"504" 123370430 NA NA 0 0
"505" 123440415 27 30 0 0
"506" 123490238 34 37 0 0
"507" 123530702 25 28 0 0
"508" 123600208 NA NA 0 0
"509" 123710221 36 39 0 0
"510" 123750516 NA NA 0 0
"511" 123790223 NA NA 0 0
"512" 124050726 NA NA 0 0
"513" 124100414 NA NA 0 0
"514" 124120412 38 41 0 0
"515" 124140535 24 27 0 0
"516" 124220410 53 56 0 0
"517" 124320327 21 24 0 0
"519" 124510943 NA NA 0 0
"520" 124550410 33 36 0 0
"521" 124570723 NA NA 0 0
"522" 124590044 NA NA 0 0
"523" 124840029 NA NA 0 0
"524" 124950040 39 42 0 0
"526" 125600230 NA NA 0 0
"527" 125890451 NA NA 0 0
"528" 126070268 23 26 0 0
"529" 126210219 31 34 0 0
"530" 126750042 NA NA 0 0
"532" 127218075 NA NA 0 0
"533" 127540434 NA NA 0 0
"534" 127740414 38 41 0 0
"535" 127870815 NA NA 0 0
"536" 127960541 29 32 0 0
"537" 128630182 NA NA 0 0
"538" 128840213 NA NA 0 0
"539" 129380367 49 52 0 0
"540" 129410206 NA NA 0 0
"541" 129550514 NA NA 0 0
"542" 129590478 NA NA 0 0
"543" 130020366 NA NA 0 0
"544" 130050421 NA NA 0 0
"546" 130230940 NA NA 0 0
"547" 130800445 23 26 0 0
"548" 131060882 NA NA 0 0
"549" 131190143 32 35 0 0
"550" 131710726 NA NA 0 0
"551" 131720477 NA NA 0 0
"553" 132040263 NA NA 0 0
"554" 132040727 27 30 0 0
"555" 132160879 27 30 0 0
"556" 132220725 33 36 0 0
"557" 132370793 33 36 0 0
"559" 132490724 NA NA 0 0
"561" 132840365 31 34 0 0
"562" 132840720 NA NA 0 0
"563" 132980476 35 38 0 0
"564" 133100488 31 34 0 0
"565" 133290487 NA NA 0 0
